id,first_name,last_name
"Cat, jungle",Black-throated butcher bird,Ornate rock dragon
Australian brush turkey,"Crane, stanley",Little brown dove
"Dove, galapagos",Genoveva,"Cat, toddy"
Blue and gold macaw,Dusky rattlesnake,"Lion, steller's sea"
"Parrot, hawk-headed",Australian pelican,Burmese black mountain tortoise
Galapagos tortoise,Burmese brown mountain tortoise,Fairy penguin
Red-winged blackbird,Black-collared barbet,Silver gull
Warthog,Yellow-crowned night heron,"Fox, grey"
Bonnet macaque,"Shrike, common boubou","Cat, tiger"
Silver-backed jackal,Arctic tern,"Cobra, cape"
